average_uptime,average_downtime,machine,e,ct,product
0 days 00:13:20.500000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:33.000000000,65
0 days 00:13:33.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:16.000000000,63
0 days 00:46:06.000000000,0 days 00:00:00.000000000,#20-2,1.0,0 days 00:00:16.000000000,54
0 days 00:13:26.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:31.000000000,64
0 days 00:46:29.000000000,0 days 00:00:00.000000000,#30,1.0,0 days 00:00:18.000000000,54
0 days 00:45:48.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:16.000000000,54
0 days 00:11:15.500000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:09.000000000,44
0 days 00:12:30.000000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:15.000000000,59
0 days 00:13:26.500000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,62
0 days 00:12:59.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:03.000000000,60
0 days 00:13:17.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:38.000000000,32
0 days 00:13:09.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:18.000000000,60
0 days 00:12:12.500000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:15.000000000,58
0 days 00:11:02.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,55
0 days 00:13:19.500000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:38.000000000,32
0 days 00:20:16.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:12.000000000,63
0 days 00:11:38.500000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,57
0 days 00:11:17.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:18.000000000,56
0 days 00:11:51.500000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,57
0 days 00:45:57.000000000,0 days 00:00:00.000000000,#20-1,1.0,0 days 00:00:16.000000000,54
